Chinese,pinyin
杨佛生,Yang Fosheng
陈有郎,Chen Youlang
陈季騧,Chen Jigua
陈季随,Chen Jisui
陈瑞林,Chen Ruilin
陈德源,Chen Deyuan
陈维贤,Chen Weixian
张炎,Zhang Yan
林生财,Lin Shengcai
黄木生,Huang Musheng
黄文德,Huang Wende
黄金炎,Huang Jinyan
黄秉盛,Huang Bingsheng
陈六娘,Chen Liuniang
陈宝莉,Chen Baoli
符气浩,Fu Qihao
曾举荐,Zeng Jujian
谢佛珊,Xie Foshan
陈丰明,Chen Fengming
詹振成,Zhan Zhencheng
刘清泉,Liu Qingquan
曾全福,Zeng Quanfu
邱文林,Qiu Wenlin
阮添寿,Ruan Tianshou
许山治,Xu Shanzhi
李庆庸,Li Qingyong
佘石城,She Shicheng
陈德娘,Chen Deniang
陈俊睦,Chen Junmu
陈俊善,Chen Junshan
陈恭三,Chen Gongsan
陈恭敬,Chen Gongjing
林光瑗,Lin Guangyuan
林长水,Lin Changshui
林永庆,Lin Yongqing
陈明岩,Chen Mingyan
杨如陵,Yang Ruling
林景烈,Lin Jinglie
陈玉合,Chen Yuhe
杨鸿泰,Yang Hongtai
陈若铨,Chen Ruoquan
陈振盛,Chen Zhensheng
洪俊成,Hong Juncheng
洪捷发,Hong Jiefa
章三潮,Zhang Sanchao
沈阿溪,Shen Axi
黄宗山,Huang Zongshan
黄祥达,Huang Xiangda
郑玉瓞,Zheng Yudie
陈明远,Chen Mingyuan
陈庆照,Chen Qingzhao
泰王,Taiwang
陈德道,Chen Dedao
陈季良,Chen Jiliang
龚光传,Gong Guangchuan
陈静雅,Chen Jingya
龚菽惠,Gong Shuhui
蔡绵溪,Cai Mianxi
陈文确,Chen Wenque
谢源英,Xie Yuanying
陈思源,Chen Siyuan
李庆烈,Li Qinglie
李攀福,Li Panfu
陈仙精,Chen Xianjing
曾江水,Zeng Jiangshui
陈温祥,Chen Wenxiang
陈达贤,Chen Daxian
刘隆镇,Liu longzhen
张善庆,Zhang Shanqing
刘溪士,Liu Xishi
杨本盛,Yang Bensheng
陈正端,Chen Zhengduan
陈合盛,Chen Hesheng
阿瑟•杨格,Ase Yangge
张贵添,Zhangguitian
罗窗绮,Luo Chuangqi
林德为,Lin Dewei
徐桂梦,Xu Guimeng
罗丰禄,Luo Fenglu
蔡仰泰,Cai Yangtai
宾威廉,Binweilian
库克姑娘,Kuke Guniang
基斯柏里,Jisiboli
格兰特,Gelante
陈德顺,Chen Desun
陈有为,Chen Youwei
陈有余,Chen Youyu
陈玉英,Chen Yahan
宋振荣,Song Zhenrong
赵恭喜,Zhao Gongxi
陈丙荣,Chen Bingrong
陈秋金,Chen Qiujin
郑文德,Zheng Wende
陈谦福,Chen Qianfu
李荣元,Li Rongyuan
陈振,Chen Zhen
陈浩盛,Chen Haosheng
张友,Zhang You
黄文元,Huang Wenyuan
陈祀柏,Chen Sibai
陈周锦,Chen Zhoujin
陈合隆,Chen Helong
李碧云,Li Biyun
佘应瑾,She Yingjin
陈佛元,Chen Foyuan
陈昭彬,Chen Zhaobin
潘春阳,Pan Chunyang
刘孝钦,Liu Xiaoqin
阿武峇卡,Awubaka
陈振贤,Chen Zhenxian
林德义,Lin Deyi
黄阿舍,Huang Ashe
阿尔伯特王子,Aerbote Wangzi
乔治王子,Qiaozhi Wangzi
朱惠琳,Zhu Huilin
陈先进,Chen Xianjin
邱国瓦,Qiu Guowa
郑螺生,Zheng Luosheng
林金殿,Lin Jindian
胡先愿,Hu Xianyuan
黄庆昌,Huang Qingchang
黄卓善,Huang Zhuoshan
王丙丁,Wang Bingding
林斐,Lin Fei
陈祯祥,Chen Zhenxiang
康乐公爵,Kangle Gongjue
戴板鹗,Dai Bane
蔡南,Cai Nan
陈金殿,Chen Jindian
洪金捷,Hong Jinjie
佘怀德,She Huaide
佘德秀,She Dexiu
温振周,Wen Zhenzhou
林顶合,Lin Dinghe
戴山交,Dai Shanjiao
戴文通,Dai Wentong
陈允洛,Chen Yunluo
李厚基,Li Houji
吴氏,Wushi
傅紫曦,Fu Zixi
傅紫祯,Fu Zizhen
傅紫礼,Fu Zili
刘韵仙,Liu Yunxian
傅超人,Fu Chaoren
傅超贤,Fu Chaoxian
傅继慈,Fu Jici
巴素,Basu
米勒,Mile
郭可培,Guo Kepei
郭玉英,Guo Yuying
郭成瑞,Guo Chengrui
黄重吉,Huang Chongji
许生理,Xu Shengli
洪基源,Hong Jiyuan
萧长水,Xiao Changshui
萧清南,Xiao Qingnan
萧清发,Xiao Qingfa
陈笃,Chen Du
洪福寿,Hong Fushou
王嘉禄,Wang Jialu
李亮琪,Li Liangqi
庄惠泉,Zhuang Huiquan
李金泉,Li Jinquan
叶瑞人,Ye Ruiren
王吉士,Wang Jishi
英倚泉,Ying Yiquan
胡子钦,Hu Ziqin
郑氏（姐）,Zhengshi（Jie）
郑氏（妹）,Zhengshi（Mei）
杜苏,Du Su
张凤英,Zhang Fengying
胡清才,Hu Qingcai
胡清湖,Hu Qinghu
李志城,Li Zhicheng
胡清新,Hu Qingxin
李益森,Li Yishen
胡清德,Hu Qingde
汤湘霖,Tang Xianglin
林霭民,Lin Aimin
转道,Zhuandao
郑雨生,Zheng Yusheng
胡好,Hu Hao
胡资周,Hu Zizhou
胡蛟,Hu Jiao
邱立南,Qiu Linan
胡亚业,Hu Yaji 
维多利亚女皇,Weiduoliya Nühuang
胡颖德,Hu Yingde
黄永祺,Huang Yingqi
黄桂岩,Hui Guiyan
黄桂丁,Huang Guiding
黄桂馥,Huang Guifu
徐悲鸿,Xu Beihong
许雪湫,Xu Xueqiu
黄端琼,Huang Duanqiong
黄淑琼,Huang Shuqiong
蔚利高,Wei Ligao
萧保魂,Xiao Baohun
陈祀恩,Chen Sien
黄金钻,Huang Jinzuan
赫利特,He Lite
黄海筹,Huang Haichou
黄树昆,Huang Shukun
黄寿炽,Huang Shouzhi
黄美瑶,Huang Meiyao
梁敏修,Liang Minxiu
黄兆贤,Huang Zhaoxian
黄兆珪,Huang Zhaogui
黄兆琨,Huang Zhaokun
黄兆南,Huang Zhaonan
黄兆镇,Huang Zhaozhen
陈宗祺,Chen Zongqi
黄奕根,Huang Yigen
李登辉,Li Denghui
袁世凯,Yuan Shikai
王景成,Wang Jingcheng
黄勖吾,Huang Xuwo
李进坤,Li Jinkun
李进汤,Li Jintang
李维娘,Li Weiniang
李金耀,Li Jinyao
李天耀,Li Tianyao
李祥耀,Li Xiangyao
李金满,Li Jinman
李显龙,Li Xianlong
庄笃明,Zhuang Duming
李庆禧,Li Qingxi
陈长佑,Chen Changyou
胡维德,Hu Weide
载泽,Zaize
尚志恒,Shang Zhiheng
庄士敦,Zhuang Shidun
林维芳,Lin Weifang
李宝娘,Li Baoniang
李邦赐,Li Bangci
蔡永远,Cai Yongyuan
许行云,Xu Xingyun
苏芳泉,Su Fangquan
陈敬元,Chen Jingyuan
许山泉,Xu Shanquan
许山林,Xu Shanlin
许山河,Xu Shanhe
李桂林,Li Guilin
李石农,Li Shinong
李深端,Li Shenduan
李深学,Li Shenxue
谢孝义,Xie Xiaoyi
李清岩,Li Qingyan
光绪皇帝,Guangxu Huangdi
史密斯,Shimisi
李玉波,Li Yubo
李合平,Li Heping
陈长乐,Chen Changle
李铁民,Li Tiemin
颜长春,Yan Changchun
江建霞,Jiang Jianxia
李淑娘,Li Shuniang
爱德华七世,Aidehua Qishi
泰戈尔,Taigeer
尼赫鲁,Nihelu
甘地,Gandi
林建达,Linjianda
威廉•启信,Weilian Qixin
乔治六世,Qiaozhi Liushi
伊丽莎白二世,Yilishabai Ershi
蔡子庸,Cai Ziyong
陈云秋,Chen Yunqiu
林树森,Lin Shusen
李乾盛,Li Qiansheng
黄松亭,Huang Songting
乔治五世,Qiaozhi Wushi
黄庆祥,Huang Qingxiang
陈锡九,Chen Xijiu
林和坂,Lin Heban
黄敏,Huang Min
林金泽,Lin Jinze
林绍裘,Lin Shaoqiu
林汉,Lin Han
林路,Lin Lu 
林竹轩,Lin Zhuxuan
李德立,Li Deli
佘正裕,She Zhengyu
谢庆振,Xie Qingzhen
佘柏城,She Baicheng
肃亲王,Su Qinwang
林可能,Lin Keneng
林国安,Linguoan
林癸荣,Lin Kuirong
林萃龙,Lin Cuilong
林月卿,Lin Yueqing
林炳汉,Lin Binghan
林贤娘,Lin Xianniang
林三古,Lin Sangu
朱月娘,Zhu Yueniang
尤索夫•依萨,Yousuofu Yisa
刘正兴,Liu Zhengxing
阮碧霞,Ruan Bixia
陈秋槎,Chen Qiucha
林炳源,Lin Bingyuan
张春莲,Zhang Chunlian
张来喜,Zhang Laixi
胡汉民,Hu Hanmin
汪精卫,Wang Jingwei
李烈钧,Li Liejun
林忠民,Lin Zhongmin
林忠宪,Lin Zhongxian
阮氏,Ruanshi
林积玉,Lin Jiyu
林琼玉,Lin Qiongyu
林素玉,Lin Suyu
林美玉,Lin Meiyu
林绿玉,Lin lüyu
林雪玉,Lin Xueyu
林英权,Lin Yingquan
林英士,Lin Yingshi
林雨岩,Lin Yuyan
萧贤舞,Xiao Xianwu
蓝梦全,Lan Mengquan
梭罗副王,Suoluo Fuwang
王义元,Wang Yiyuan
方琴媛,Fang Qinyuan
欧阳壎,Ouyang Xun
宏船,Hongchuan
吴良标,Wu Liangbiao
刘毓霖,Liu Yulin
邱国珍,Qiu Guozhen
邱正潮,Qiu Zhengchao
邱得松,Qiu Desong
谢龙门,Xie Longmen
瑞于,Ruiyu
刘瑜,Liu Yu
李声余,Li Shengyu
陈德才,Chen Decai
邵逸夫,Shao Yifu
刘长意,Liu Changyi
佘应仁,She Yingren
佘应佐,She Yingzuo
佘应恭,She Yinggong
威廉•巴特卫,Weilian Batewei
曾亚六,Zeng Yaliu
杨春娘,Yang Chunniang
宋长溪,Song Changxi
宋顺源,Song Shunyuan
宋荣宗,Song Rongzong
理雅各,Liyage
基斯柏理,Jisiboli
陈光为,Chen Guangwei
陈文进,Chen Wenjin
符愈贵,Fu Yugui
冯芳莲,Feng Fanglian
陈文芳,Chen Wenfang
陈文元,Chen Wenyuan
宋旺武,Song Wangwu
爱谨,Aijin
许春风,Xu Chunfeng
马绍尔,Ma Shaoer
许春裕,Xu Chunyu
张舜琴,Zhang Shunqin
杨喜娘,Yang Xiniang
麦比士,Maibishi
龚振荣,Gong Zhenrong
阮添筹,Ruan Tianchou
林成乾,Lin Chengqian
邱武艺,Qiu Wuyi
李庆纪,Li Qingji
何乐如,He Leru
陈树南,Chen Shunan
郑聘廷,Zheng pinting
刘坤意,Liu Kunyi
薛中华,Xue Zhonghua
陈庆云,Chen Qingyun
谢林娘,Xie Lingniang
谢佛德,Xie Fode
王竞惠,Wang Jinghui
王庆云,Wang Qingyun
王沧周,Wang Cangzhou
陈桂兰,Chen Guilan
邱百禄,Qiu Bailu
邱培丕顺,Qiu Peipishun
王先树,Wang Xianshu
王先德,Wang Xiande
王长顺,Wang Changshun
王顺智,Wang Shunzhi
王坤殿,Wang Kundian
林英茂,Lin Yingmao
王绍善,Wang Shaoshan
王绍贤,Wang Shaoxian
伍玉玲,Wu Yuling
王会仪,Wang Huiyi
吴士基,Wu Shiji
慈禧太后,Cixi Taihou
曾兆南,Zeng Zhaonan
徐敦青,Xu Dunqing
朱善锦,Zhu Shanjin
蔡心义,Cai Xinyi
萧守福,Xiao Shoufu
萧才发,Xiao Caifa
萧守仁,Xiao Shouren
萧月清,Xiao Yueqing
陈恩裕,Chen Enyu
萧月明,Xiao Yueming
林坤德,Lin Kunde
萧友仁,Xiao Youren
萧月卿,Xiao Yueqing
谢宝荣,Xie Baorong
